TestNo,TestName
1,org.apache.commons.cli.OptionTest
2,org.apache.commons.cli.bug.BugCLI18Test
3,org.apache.commons.cli.BuildTest
4,org.apache.commons.cli.TestHelpFormatter
5,org.apache.commons.cli.ArgumentIsOptionTest
6,org.apache.commons.cli.bug.BugCLI13Test
7,org.apache.commons.cli.bug.BugCLI51Test
8,org.apache.commons.cli.OptionBuilderTest
9,org.apache.commons.cli.OptionsTest
10,org.apache.commons.cli.bug.BugCLI71Test
11,org.apache.commons.cli.ParseRequiredTest
12,org.apache.commons.cli.PatternOptionBuilderTest
13,org.apache.commons.cli.GnuParseTest
14,org.apache.commons.cli.OptionGroupTest
15,org.apache.commons.cli.ParseTest
16,org.apache.commons.cli.ValuesTest
17,org.apache.commons.cli.ValueTest
18,org.apache.commons.cli.BugsTest
19,org.apache.commons.cli.ApplicationTest
